"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"92ac5a62e607bab87f255c0359633e46","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"40de19edd9f763295f4340484e9153d3","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"d4d8438b723310d51f0ddb298e064764","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_39101"
"9014adaa9a964a539716ec086076feeb","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_39101"
"52dce81b15bc9ebc173e0a514243b8bb","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_39101"
"40935867fedb8cc748e27ab8997839df","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_20025"
"4b1bfecdace0244cc2fa20e1da6877d0","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_40284",NA
"5db694edf839eff28cb6a47bb5b50693","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_6709"
"b1f24ed7994729c11a2a0467071868b3","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"9150fcae7210c26a918892a53ba70a44","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"2368e6db200ed273f956eb3c589fcbda","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"a36b617c346af9dc1b8b18938adc2fc9","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_2514"
"251e883db59a7c989e5505f28c080964","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_35640"
"c0976b623ad5b6b0318786e0888a2b0a","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_35640"
"df6810a7404ad34d438c1df6f3c98f54","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_8338"
"08902729acc00ffea61f1a244a888da9","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","midas_s_18720"
